,we.ep,we.eBH,wi.ep,wi.eBH,rab.all,rab.win.No,rab.win.Yes,diff.btw,diff.win,effect,overlap,-Log10(adj-pvalue),Taxa
Lactobacillus_crispatus,4.95417051931158e-05,0.000153931617607565,0.00134124257059388,0.00487477944389443,0.882966003428298,1.80186022256611,-3.18435594330744,-5.60305950236617,8.31632435924807,-0.689209105848731,0.213541726914124,2.31204502888164,Lactobacillus_crispatus
Ureaplasma,0.00183028791061889,0.00335305771775671,0.00499382049725551,0.0102727139871529,-1.37879580362112,-0.791839926704442,-4.59565594684245,-4.06968335372519,6.15686969321275,-0.61878638597361,0.240572221676849,1.98831480334214,Ureaplasma
Lactobacillus_gasseri,0.000731812336281193,0.00141496575705626,0.00330005622778626,0.0077557454977973,-1.97892702705421,-0.884088962033616,-5.44830531828987,-4.68680218156511,6.38960765901761,-0.642265744332398,0.207031313032552,2.11037645058814,Lactobacillus_gasseri
Lachnospiraceae,0.536322530727092,0.599351880359349,0.689751528127424,0.735919041337107,0.720957781210919,0.777923222708783,0.391567195364403,0.928847148299287,8.29897063683344,0.105225553702204,0.451235377548979,0.133169959894106,Lachnospiraceae
Atopobium,0.000307597500601659,0.000718642544464392,0.0056863744289467,0.0112127967512304,1.70398970694881,1.11889755864683,4.93295589604993,3.27964550426249,4.49465098257743,0.623119385201055,0.248697964172301,1.9502860500155,Atopobium
Gardnerella,0.000210134971573206,0.000537447451037397,0.00741626446693413,0.0131885335629657,5.64846820127938,4.86283197388379,7.79792706744478,3.30769239067069,4.15823621689328,0.646570769369774,0.261378457067583,1.87980349110393,Gardnerella
Lactobacillus_iners,0.0398106369430536,0.0564850834702921,0.0887662407932706,0.12230912441173,5.43425650697033,6.20449109503259,3.22481712829097,-2.76363701813126,6.64786833665992,-0.385526185177755,0.353706134379022,0.912541142850463,Lactobacillus_iners
Other_Lactobacillus,0.000238712481911876,0.000544477741325279,0.00354337258445207,0.00804332290020948,-2.63510522579656,-1.23013690351046,-6.21333667931861,-5.15079291441707,6.49680852531149,-0.720425348104513,0.214843809708986,2.09456449614089,Other_Lactobacillus
Sneathia,7.16594204567207e-05,0.000240999853262308,0.000373955547467315,0.0026412880487913,1.39603638771777,1.05275552069942,5.46738390217735,4.24447926699951,4.82510532654341,0.822493354927951,0.167750408937775,2.57818423371205,Sneathia
Peptoniphilus,0.103184164829778,0.130383069119851,0.127469061532042,0.166684204254657,-1.69915842887752,-1.85848849450659,-0.689951004490114,1.40875802102918,4.13997622053361,0.32357265230314,0.348504574871776,0.778105553921678,Peptoniphilus
Megasphaera,0.0239106522551784,0.0341618175520406,0.00296683498445402,0.00804248412550383,-0.0486426636477972,-0.550997710200377,3.67276185970034,3.15185596414382,4.97737639207388,0.580111568471503,0.225260472271978,2.09460978764861,Megasphaera
Prevotella,0.00409356301831746,0.00712144761003054,0.0420981739093835,0.0634320007907396,2.947271724419,2.41995926118278,4.62069238115802,1.73869715687293,3.81729089656027,0.390782197007138,0.336801066051935,1.19769158974279,Prevotella
Lactobacillus_jensenii,0.000301308497234298,0.00061456593453027,0.00158981506908895,0.00485970243538345,-2.34481847005735,-1.55219329964441,-5.89475368372804,-5.12429128223356,6.73303960083826,-0.70785568228777,0.193758196501087,2.31339032222482,Lactobacillus_jensenii
Fusobacterium,0.64893158560962,0.686329746606309,0.572591647981159,0.619865976123112,-3.42052162285337,-3.36556588773796,-3.82069847048171,-0.484866246008006,6.06434744317151,-0.0829479379353213,0.453125006681458,0.207702201021404,Fusobacterium
Clostridiales,0.0295508362914982,0.0419335884085316,0.00463158259590924,0.00991701350493784,-0.431202287725913,-0.949604010322124,2.9304417651907,3.28776641226949,5.0379505372523,0.605688486809961,0.236979218044917,2.0036190953462,Clostridiales
Mobiluncus,0.548085339038362,0.594914356990657,0.527758043205859,0.582997623846093,-2.49036688590531,-2.53439359871334,-1.86488858586384,1.08837565363592,6.06626917174252,0.167278299942335,0.430429138735947,0.234333215314113,Mobiluncus
Coriobacteriaceae,5.60481220922766e-07,7.70441474080728e-06,0.000115134538067362,0.00179998148849785,-0.506846793199617,-1.05325620625632,3.31228327226839,4.20843787869022,4.2037031952544,0.884728451176348,0.152145738692632,2.74473196127701,Coriobacteriaceae
Dialister,8.69564683368512e-05,0.000254603301140891,0.00426613539622414,0.0096866661992445,0.997741875251882,0.444623687641402,2.31357045618094,2.2919215572904,3.38040568318836,0.609763174142089,0.231770886543195,2.01382566571418,Dialister
Anaerococcus,0.717725927790849,0.749005872507693,0.790499517181305,0.812095397713495,-2.12579761102747,-2.1943191392997,-1.5882863447079,-0.102023606633576,5.73819388736355,-0.0135621999424867,0.491547465430725,0.0903929507255641,Anaerococcus
TM7,0.384368074634346,0.44383874299778,0.295537901808174,0.358522285002233,-2.6920276531924,-2.83562430974741,-0.0820656885502213,1.91259990407831,7.64497299583579,0.222312655494786,0.4057217302902,0.445483844312213,TM7
